          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             0.45000             0.70000             1.00000            15.81722             1.39828             1.95519               23594             0.72003                   0                   1
                   3                  10               32768             1.00000             0.45000             0.80000             1.00000            16.67657             1.84329             3.39773               23007             0.70212                   0                   1
                   3                  10               32768             1.00000             0.50000             0.20000             1.00000            21.69438             3.88000            15.05437               27283             0.83261                   0                   1
                   3                  10               32768             1.00000             0.50000             0.30000             1.00000            16.98538             1.98011             3.92084               26010             0.79376                   0                   1
                   3                  10               32768             1.00000             0.50000             0.40000             1.00000            15.39248             0.86054             0.74053               25029             0.76382                   0                   1
                   3                  10               32768             1.00000             0.50000             0.60000             1.00000            15.26206             0.70692             0.49974               23411             0.71445                   0                   1
                   3                  10               32768             1.00000             0.50000             0.70000             1.00000            15.85722             1.32869             1.76542               22693             0.69254                   0                   1
                   3                  10               32768             1.00000             0.50000             0.80000             1.00000            16.73630             1.91964             3.68502               21953             0.66995                   0                   1
                   3                  10               32768             1.00000             0.55000             0.20000             1.00000            21.90897             3.88482            15.09183               26765             0.81680                   0                   1
                   3                  10               32768             1.00000             0.55000             0.30000             1.00000            16.97627             1.96995             3.88070               25447             0.77658                   0                   1
                   3                  10               32768             1.00000             0.55000             0.40000             1.00000            15.37535             0.85750             0.73531               24293             0.74136                   0                   1
                   3                  10               32768             1.00000             0.55000             0.60000             1.00000            15.23503             0.70725             0.50020               22451             0.68515                   0                   1
                   3                  10               32768             1.00000             0.55000             0.70000             1.00000            15.83282             1.35695             1.84132               21663             0.66110                   0                   1
                   3                  10               32768             1.00000             0.55000             0.80000             1.00000            16.72453             1.89207             3.57993               20977             0.64017                   0                   1
                   3                  10               32768             1.00000             0.60000             0.20000             1.00000            21.81879             3.97054            15.76518               26188             0.79919                   0                   1
                   3                  10               32768             1.00000             0.60000             0.30000             1.00000            16.97115             2.02810             4.11320               24772             0.75598                   0                   1
                   3                  10               32768             1.00000             0.60000             0.40000             1.00000            15.39610             0.86931             0.75570               23553             0.71878                   0                   1
                   3                  10               32768             1.00000             0.60000             0.60000             1.00000            15.30071             0.68925             0.47506               21551             0.65768                   0                   1
                   3                  10               32768             1.00000             0.60000             0.70000             1.00000            15.94052             1.29186             1.66891               20753             0.63333                   0                   1
                   3                  10               32768             1.00000             0.60000             0.80000             1.00000            16.79700             1.87915             3.53119               19972             0.60950                   0                   1
                   3                  10               32768             1.00000             0.65000             0.20000             1.00000            21.75068             4.08823            16.71363               25721             0.78494                   0                   1
                   3                  10               32768             1.00000             0.65000             0.30000             1.00000            17.01392             2.07193             4.29291               24097             0.73538                   0                   1
                   3                  10               32768             1.00000             0.65000             0.40000             1.00000            15.33608             0.82755             0.68483               22806             0.69598                   0                   1
                   3                  10               32768             1.00000             0.65000             0.60000             1.00000            15.23904             0.72338             0.52329               20702             0.63177                   0                   1
                   3                  10               32768             1.00000             0.65000             0.70000             1.00000            15.90514             1.29624             1.68025               19818             0.60480                   0                   1
                   3                  10               32768             1.00000             0.65000             0.80000             1.00000            16.68011             1.87204             3.50453               19037             0.58096                   0                   1
                   3                  10               32768             1.00000             0.70000             0.20000             1.00000            21.81626             4.17173            17.40336               25133             0.76700                   0                   1
                   3                  10               32768             1.00000             0.70000             0.30000             1.00000            17.02258             2.03805             4.15367               23449             0.71561                   0                   1
                   3                  10               32768             1.00000             0.70000             0.40000             1.00000            15.38162             0.88457             0.78246               22070             0.67352                   0                   1
                   3                  10               32768             1.00000             0.70000             0.60000             1.00000            15.25167             0.70685             0.49963               19889             0.60696                   0                   1
                   3                  10               32768             1.00000             0.70000             0.70000             1.00000            15.91769             1.30914             1.71383               18865             0.57571                   0                   1
                   3                  10               32768             1.00000             0.70000             0.80000             1.00000            16.77772             1.89591             3.59446               18152             0.55396                   0                   1
                   3                  10               32768             1.00000             0.75000             0.20000             1.00000            21.73250             3.97185            15.77559               24572             0.74988                   0                   1
                   3                  10               32768             1.00000             0.75000             0.30000             1.00000            16.95917             2.08948             4.36592               22801             0.69583                   0                   1
                   3                  10               32768             1.00000             0.75000             0.40000             1.00000            15.34595             0.86439             0.74718               21342             0.65131                   0                   1
                   3                  10               32768             1.00000             0.75000             0.60000             1.00000            15.27957             0.69837             0.48772               18998             0.57977                   0                   1
                   3                  10               32768             1.00000             0.75000             0.70000             1.00000            15.90393             1.29684             1.68179               18086             0.55194                   0                   1
                   3                  10               32768             1.00000             0.75000             0.80000             1.00000            16.75588             1.92961             3.72338               17262             0.52679                   0                   1
                   3                  10               32768             1.00000             0.80000             0.20000             1.00000            21.92566             3.96834            15.74769               24075             0.73471                   0                   1
                   3                  10               32768             1.00000             0.80000             0.30000             1.00000            16.94624             2.11640             4.47914               22180             0.67688                   0                   1
                   3                  10               32768             1.00000             0.80000             0.40000             1.00000            15.35575             0.86515             0.74849               20695             0.63156                   0                   1
                   3                  10               32768             1.00000             0.80000             0.60000             1.00000            15.26587             0.72057             0.51922               18244             0.55676                   0                   1
                   3                  10               32768             1.00000             0.80000             0.70000             1.00000            15.95418             1.29839             1.68582               17173             0.52408                   0                   1
                   3                  10               32768             1.00000             0.80000             0.80000             1.00000            16.74332             1.84922             3.41963               16468             0.50256                   0                   1
                   3                  10               32768             1.00000             0.85000             0.20000             1.00000            21.65400             3.99552            15.96415               23466             0.71613                   0                   1
                   3                  10               32768             1.00000             0.85000             0.30000             1.00000            16.96446             2.08399             4.34300               21549             0.65762                   0                   1
                   3                  10               32768             1.00000             0.85000             0.40000             1.00000            15.38166             0.86534             0.74881               19959             0.60910                   0                   1
                   3                  10               32768             1.00000             0.85000             0.60000             1.00000            15.24313             0.70816             0.50150               17459             0.53281                   0                   1
                   3                  10               32768             1.00000             0.85000             0.70000             1.00000            15.85872             1.33853             1.79165               16484             0.50305                   0                   1
                   3                  10               32768             1.00000             0.85000             0.80000             1.00000            16.66151             1.92631             3.71068               15584             0.47559                   0                   1
                   3                  10               32768             1.00000             0.90000             0.20000             1.00000            21.51258             4.05352            16.43104               23043             0.70322                   0                   1
                   3                  10               32768             1.00000             0.90000             0.30000             1.00000            17.10620             2.17131             4.71460               20955             0.63950                   0                   1
                   3                  10               32768             1.00000             0.90000             0.40000             1.00000            15.37839             0.88576             0.78457               19340             0.59021                   0                   1
                   3                  10               32768             1.00000             0.90000             0.60000             1.00000            15.23174             0.71785             0.51531               16714             0.51007                   0                   1
                   3                  10               32768             1.00000             0.90000             0.70000             1.00000            15.76733             1.37817             1.89936               15645             0.47745                   0                   1
                   3                  10               32768             1.00000             0.90000             0.80000             1.00000            16.83590             1.85309             3.43394               14748             0.45007                   0                   1
                   3                  10               32768             1.00000             0.95000             0.20000             1.00000            21.45818             3.96047            15.68533               22542             0.68793                   0                   1
                   3                  10               32768             1.00000             0.95000             0.30000             1.00000            16.93606             2.02516             4.10126               20331             0.62045                   0                   1
                   3                  10               32768             1.00000             0.95000             0.40000             1.00000            15.37289             0.84951             0.72167               18632             0.56860                   0                   1
                   3                  10               32768             1.00000             0.95000             0.60000             1.00000            15.24676             0.67458             0.45506               16068             0.49036                   0                   1
                   3                  10               32768             1.00000             0.95000             0.70000             1.00000            15.83030             1.31229             1.72210               14922             0.45538                   0                   1
                   3                  10               32768             1.00000             0.95000             0.80000             1.00000            16.68989             1.92756             3.71550               13930             0.42511                   0                   1
                   3                  10               32768             1.00000             1.00000             0.20000             1.00000            21.84553             4.05615            16.45235               22033             0.67239                   0                   1
                   3                  10               32768             1.00000             1.00000             0.30000             1.00000            16.94911             2.06578             4.26743               19744             0.60254                   0                   1
                   3                  10               32768             1.00000             1.00000             0.40000             1.00000            15.31296             0.83735             0.70116               17946             0.54767                   0                   1
                   3                  10               32768             1.00000             1.00000             0.60000             1.00000            15.20062             0.70618             0.49870               15285             0.46646                   0                   1
                   3                  10               32768             1.00000             1.00000             0.70000             1.00000            15.78483             1.35246             1.82914               14203             0.43344                   0                   1
                   3                  10               32768             1.00000             1.00000             0.80000             1.00000            16.59351             1.95619             3.82667               13171             0.40195                   0                   1
                   3                  10               32768             1.00000             1.05000             0.20000             1.00000            21.63762             4.07873            16.63600               21443             0.65439                   0                   1
                   3                  10               32768             1.00000             1.05000             0.30000             1.00000            17.00604             2.05211             4.21114               19121             0.58353                   0                   1
                   3                  10               32768             1.00000             1.05000             0.40000             1.00000            15.33354             0.85365             0.72871               17297             0.52786                   0                   1
                   3                  10               32768             1.00000             1.05000             0.60000             1.00000            15.18961             0.73066             0.53387               14636             0.44666                   0                   1
                   3                  10               32768             1.00000             1.05000             0.70000             1.00000            15.76296             1.37056             1.87843               13560             0.41382                   0                   1
                   3                  10               32768             1.00000             1.05000             0.80000             1.00000            16.57962             1.95983             3.84093               12531             0.38242                   0                   1
                   3                  10               32768             1.00000             1.10000             0.20000             1.00000            21.57683             4.14211            17.15708               21041             0.64212                   0                   1
                   3                  10               32768             1.00000             1.10000             0.30000             1.00000            16.90899             2.02928             4.11798               18664             0.56958                   0                   1
                   3                  10               32768             1.00000             1.10000             0.40000             1.00000            15.37922             0.85847             0.73697               16788             0.51233                   0                   1
                   3                  10               32768             1.00000             1.10000             0.60000             1.00000            15.25186             0.72187             0.52109               13848             0.42261                   0                   1
                   3                  10               32768             1.00000             1.10000             0.70000             1.00000            15.85039             1.33569             1.78406               12889             0.39334                   0                   1
                   3                  10               32768             1.00000             1.10000             0.80000             1.00000            16.54751             1.97350             3.89469               11943             0.36447                   0                   1
                   3                  10               32768             1.00000             1.15000             0.20000             1.00000            21.68677             4.05201            16.41881               20481             0.62503                   0                   1
                   3                  10               32768             1.00000             1.15000             0.30000             1.00000            16.93897             2.03123             4.12588               18068             0.55139                   0                   1
                   3                  10               32768             1.00000             1.15000             0.40000             1.00000            15.43831             0.89731             0.80516               16206             0.49457                   0                   1
                   3                  10               32768             1.00000             1.15000             0.60000             1.00000            15.24162             0.70449             0.49631               13121             0.40042                   0                   1
                   3                  10               32768             1.00000             1.15000             0.70000             1.00000            15.79170             1.36184             1.85460               12315             0.37582                   0                   1
                   3                  10               32768             1.00000             1.15000             0.80000             1.00000            16.72532             1.93464             3.74284               11042             0.33698                   0                   1
                   3                  10               32768             1.00000             1.20000             0.20000             1.00000            21.33767             3.88271            15.07541               19895             0.60715                   0                   1
                   3                  10               32768             1.00000             1.20000             0.30000             1.00000            17.06886             2.03588             4.14481               17458             0.53278                   0                   1
                   3                  10               32768             1.00000             1.20000             0.40000             1.00000            15.38484             0.83460             0.69656               15596             0.47595                   0                   1
                   3                  10               32768             1.00000             1.20000             0.60000             1.00000            15.22281             0.73215             0.53605               12672             0.38672                   0                   1
                   3                  10               32768             1.00000             1.20000             0.70000             1.00000            15.88106             1.36553             1.86469               11501             0.35098                   0                   1
                   3                  10               32768             1.00000             1.20000             0.80000             1.00000            16.79628             1.91080             3.65116               10541             0.32169                   0                   1
                   3                  10               32768             1.00000             1.25000             0.20000             1.00000            21.50270             3.90973            15.28602               19486             0.59467                   0                   1
                   3                  10               32768             1.00000             1.25000             0.30000             1.00000            16.97705             2.10692             4.43911               16893             0.51553                   0                   1
                   3                  10               32768             1.00000             1.25000             0.40000             1.00000            15.39097             0.90453             0.81817               15019             0.45834                   0                   1
                   3                  10               32768             1.00000             1.25000             0.60000             1.00000            15.19924             0.72974             0.53251               12080             0.36865                   0                   1
