          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                   1               65536             1.00000             1.00000             0.36263             1.00000             1.57527             0.39293             0.15439               37217             0.56789                   0                   1
                   3                   1               65536             1.00000             1.00000             0.36263             1.00000             1.57527             0.39293             0.15439               37217             0.56789                   0                   0
                   3                   1               65536             1.00000             1.00000             0.37273             1.00000             1.56447             0.36220             0.13119               36827             0.56194                   0                   1
                   3                   1               65536             1.00000             1.00000             0.37273             1.00000             1.56447             0.36220             0.13119               36827             0.56194                   0                   0
                   3                   1               65536             1.00000             1.00000             0.38283             1.00000             1.55604             0.32965             0.10867               36521             0.55727                   0                   1
                   3                   1               65536             1.00000             1.00000             0.38283             1.00000             1.55604             0.32965             0.10867               36521             0.55727                   0                   0
                   3                   1               65536             1.00000             1.00000             0.39293             1.00000             1.54206             0.29386             0.08635               36174             0.55197                   0                   1
                   3                   1               65536             1.00000             1.00000             0.39293             1.00000             1.54206             0.29386             0.08635               36174             0.55197                   0                   0
                   3                   1               65536             1.00000             1.00000             0.40303             1.00000             1.53410             0.26497             0.07021               35884             0.54755                   0                   1
                   3                   1               65536             1.00000             1.00000             0.40303             1.00000             1.53410             0.26497             0.07021               35884             0.54755                   0                   0
                   3                   1               65536             1.00000             1.00000             0.41313             1.00000             1.52688             0.23524             0.05534               35454             0.54099                   0                   1
                   3                   1               65536             1.00000             1.00000             0.41313             1.00000             1.52688             0.23524             0.05534               35454             0.54099                   0                   0
                   3                   1               65536             1.00000             1.00000             0.42323             1.00000             1.51836             0.20273             0.04110               35186             0.53690                   0                   1
                   3                   1               65536             1.00000             1.00000             0.42323             1.00000             1.51836             0.20273             0.04110               35186             0.53690                   0                   0
                   3                   1               65536             1.00000             1.00000             0.43333             1.00000             1.51663             0.17538             0.03076               34886             0.53232                   0                   1
                   3                   1               65536             1.00000             1.00000             0.43333             1.00000             1.51663             0.17538             0.03076               34886             0.53232                   0                   0
                   3                   1               65536             1.00000             1.00000             0.44343             1.00000             1.51170             0.14849             0.02205               34669             0.52901                   0                   1
                   3                   1               65536             1.00000             1.00000             0.44343             1.00000             1.51170             0.14849             0.02205               34669             0.52901                   0                   0
                   3                   1               65536             1.00000             1.00000             0.45354             1.00000             1.50584             0.11777             0.01387               34289             0.52321                   0                   1
                   3                   1               65536             1.00000             1.00000             0.45354             1.00000             1.50584             0.11777             0.01387               34289             0.52321                   0                   0
                   3                   1               65536             1.00000             1.00000             0.46364             1.00000             1.50295             0.09085             0.00825               33942             0.51791                   0                   1
                   3                   1               65536             1.00000             1.00000             0.46364             1.00000             1.50295             0.09085             0.00825               33942             0.51791                   0                   0
                   3                   1               65536             1.00000             1.00000             0.47374             1.00000             1.50211             0.06595             0.00435               33731             0.51469                   0                   1
                   3                   1               65536             1.00000             1.00000             0.47374             1.00000             1.50211             0.06595             0.00435               33731             0.51469                   0                   0
                   3                   1               65536             1.00000             1.00000             0.48384             1.00000             1.49999             0.03923             0.00154               33470             0.51071                   0                   1
