          Dimensions           Particles         Metro-steps          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10             1048576             0.55000             0.49785             1.00000            15.15266             0.01683             0.00028             0.50000                  53             0.49785             1.00000
                   3                  10             1048576             0.55000             0.49783             1.00000            15.15279             0.01691             0.00029             0.50000                  54             0.49783             1.00000
                   3                  10             1048576             0.55000             0.49782             1.00000            15.15267             0.01664             0.00028             0.50000                  55             0.49782             1.00000
                   3                  10             1048576             0.55000             0.49781             1.00000            15.15292             0.01699             0.00029             0.50000                  56             0.49781             1.00000
                   3                  10             1048576             0.55000             0.49780             1.00000            15.15279             0.01678             0.00028             0.50000                  57             0.49780             1.00000
                   3                  10             1048576             0.55000             0.49779             1.00000            15.15270             0.01668             0.00028             0.50000                  58             0.49779             1.00000
                   3                  10             1048576             0.55000             0.49778             1.00000            15.15283             0.01708             0.00029             0.50000                  59             0.49778             1.00000
                   3                  10             1048576             0.55000             0.49777             1.00000            15.15252             0.01685             0.00028             0.50000                  60             0.49777             1.00000
                   3                  10             1048576             0.55000             0.49776             1.00000            15.15283             0.01664             0.00028             0.50000                  61             0.49776             1.00000
                   3                  10             1048576             0.55000             0.49776             1.00000            15.15263             0.01735             0.00030             0.50000                  62             0.49776             1.00000
                   3                  10             1048576             0.55000             0.49775             1.00000            15.15274             0.01664             0.00028             0.50000                  63             0.49775             1.00000
                   3                  10             1048576             0.55000             0.49774             1.00000            15.15280             0.01675             0.00028             0.50000                  64             0.49774             1.00000
                   3                  10             1048576             0.55000             0.49773             1.00000            15.15274             0.01650             0.00027             0.50000                  65             0.49773             1.00000
                   3                  10             1048576             0.55000             0.49772             1.00000            15.15256             0.01693             0.00029             0.50000                  66             0.49772             1.00000
                   3                  10             1048576             0.55000             0.49772             1.00000            15.15283             0.02095             0.00044             0.50000                  67             0.49772             1.00000
                   3                  10             1048576             0.55000             0.49771             1.00000            15.15287             0.01658             0.00027             0.50000                  68             0.49771             1.00000
                   3                  10             1048576             0.55000             0.49770             1.00000            15.15295             0.01762             0.00031             0.50000                  69             0.49770             1.00000
                   3                  10             1048576             0.55000             0.49770             1.00000            15.15276             0.01696             0.00029             0.50000                  70             0.49770             1.00000
                   3                  10             1048576             0.55000             0.49769             1.00000            15.15276             0.01696             0.00029             0.50000                  71             0.49769             1.00000
                   3                  50             1048576             0.55000             0.50000             1.00000            78.95931             0.23025             0.05301             0.50000                   0             0.50000             1.00000
                   3                  50             1048576             0.55000             0.49896             1.00000            78.95751             0.20741             0.04302             0.50000                   1             0.49896             1.00000
                   3                  50             1048576             0.55000             0.49805             1.00000            78.95031             0.19245             0.03704             0.50000                   2             0.49805             1.00000
                   3                  50             1048576             0.55000             0.49721             1.00000            78.94520             0.19379             0.03755             0.50000                   3             0.49721             1.00000
                   3                  50             1048576             0.55000             0.49648             1.00000            78.94844             0.17026             0.02899             0.50000                   4             0.49648             1.00000
                   3                  50             1048576             0.55000             0.49581             1.00000            78.94551             0.17698             0.03132             0.50000                   5             0.49581             1.00000
                   3                  50             1048576             0.55000             0.49519             1.00000            78.94619             0.14302             0.02045             0.50000                   6             0.49519             1.00000
                   3                  50             1048576             0.55000             0.49464             1.00000            78.94710             0.13962             0.01949             0.50000                   7             0.49464             1.00000
                   3                  50             1048576             0.55000             0.49415             1.00000            78.93959             0.12871             0.01657             0.50000                   8             0.49415             1.00000
                   3                  50             1048576             0.55000             0.49373             1.00000            78.94515             0.13069             0.01708             0.50000                   9             0.49373             1.00000
                   3                  50             1048576             0.55000             0.49333             1.00000            78.94240             0.12849             0.01651             0.50000                  10             0.49333             1.00000
                   3                  50             1048576             0.55000             0.49294             1.00000            78.93919             0.12609             0.01590             0.50000                  11             0.49294             1.00000
                   3                  50             1048576             0.55000             0.49259             1.00000            78.94266             0.16794             0.02820             0.50000                  12             0.49259             1.00000
                   3                  50             1048576             0.55000             0.49227             1.00000            78.94022             0.19726             0.03891             0.50000                  13             0.49227             1.00000
                   3                  50             1048576             0.55000             0.49198             1.00000            78.93588             0.11449             0.01311             0.50000                  14             0.49198             1.00000
                   3                  50             1048576             0.55000             0.49173             1.00000            78.93753             0.10465             0.01095             0.50000                  15             0.49173             1.00000
                   3                  50             1048576             0.55000             0.49148             1.00000            78.94088             0.10182             0.01037             0.50000                  16             0.49148             1.00000
                   3                  50             1048576             0.55000             0.49128             1.00000            78.94143             0.10329             0.01067             0.50000                  17             0.49128             1.00000
                   3                  50             1048576             0.55000             0.49109             1.00000            78.93700             0.12682             0.01608             0.50000                  18             0.49109             1.00000
                   3                  50             1048576             0.55000             0.49091             1.00000            78.93994             0.09935             0.00987             0.50000                  19             0.49091             1.00000
                   3                  50             1048576             0.55000             0.49075             1.00000            78.93833             0.10013             0.01003             0.50000                  20             0.49075             1.00000
                   3                  50             1048576             0.55000             0.49060             1.00000            78.93853             0.14650             0.02146             0.50000                  21             0.49060             1.00000
                   3                  50             1048576             0.55000             0.49047             1.00000            78.94317             0.09687             0.00938             0.50000                  22             0.49047             1.00000
                   3                  50             1048576             0.55000             0.49035             1.00000            78.94055             0.10167             0.01034             0.50000                  23             0.49035             1.00000
                   3                  50             1048576             0.55000             0.49024             1.00000            78.93959             0.10894             0.01187             0.50000                  24             0.49024             1.00000
                   3                  50             1048576             0.55000             0.49014             1.00000            78.93841             0.13601             0.01850             0.50000                  25             0.49014             1.00000
                   3                  50             1048576             0.55000             0.49006             1.00000            78.94097             0.10313             0.01064             0.50000                  26             0.49006             1.00000
                   3                  50             1048576             0.55000             0.48999             1.00000            78.93716             0.09708             0.00942             0.50000                  27             0.48999             1.00000
                   3                  50             1048576             0.55000             0.48990             1.00000            78.93802             0.09603             0.00922             0.50000                  28             0.48990             1.00000
                   3                  50             1048576             0.55000             0.48982             1.00000            78.94052             0.09340             0.00872             0.50000                  29             0.48982             1.00000
                   3                  50             1048576             0.55000             0.48977             1.00000            78.93941             0.09433             0.00890             0.50000                  30             0.48977             1.00000
                   3                  50             1048576             0.55000             0.48971             1.00000            78.94253             0.10146             0.01029             0.50000                  31             0.48971             1.00000
                   3                  50             1048576             0.55000             0.48966             1.00000            78.93902             0.10681             0.01141             0.50000                  32             0.48966             1.00000
                   3                  50             1048576             0.55000             0.48960             1.00000            78.93940             0.09896             0.00979             0.50000                  33             0.48960             1.00000
                   3                  50             1048576             0.55000             0.48957             1.00000            78.93969             0.10034             0.01007             0.50000                  34             0.48957             1.00000
                   3                  50             1048576             0.55000             0.48952             1.00000            78.93867             0.10597             0.01123             0.50000                  35             0.48952             1.00000
                   3                  50             1048576             0.55000             0.48949             1.00000            78.94190             0.09468             0.00896             0.50000                  36             0.48949             1.00000
                   3                  50             1048576             0.55000             0.48946             1.00000            78.93982             0.13374             0.01789             0.50000                  37             0.48946             1.00000
                   3                  50             1048576             0.55000             0.48943             1.00000            78.94168             0.10365             0.01074             0.50000                  38             0.48943             1.00000
                   3                  50             1048576             0.55000             0.48943             1.00000            78.94093             0.09467             0.00896             0.50000                  39             0.48943             1.00000
                   3                  50             1048576             0.55000             0.48942             1.00000            78.93919             0.09452             0.00893             0.50000                  40             0.48942             1.00000
