          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  30               59416             1.00000             1.20000             0.40000             1.00000            46.33373             1.57888             2.49287               28451             0.47884                   0                   1
                   3                  30               59416             1.00000             0.80000             0.40000             1.00000            46.08926             1.53227             2.34786               46062             0.77525                   1                   1
                   3                  30               62839             1.00000             1.20000             0.40000             1.00000            46.32156             1.57839             2.49131               30075             0.47860                   0                   1
                   3                  30               62839             1.00000             0.80000             0.40000             1.00000            46.06274             1.54209             2.37806               48681             0.77469                   1                   1
                   3                  30               66460             1.00000             1.20000             0.40000             1.00000            46.30026             1.58448             2.51056               31830             0.47893                   0                   1
                   3                  30               66460             1.00000             0.80000             0.40000             1.00000            46.04475             1.53393             2.35294               51453             0.77420                   1                   1
                   3                  30               70288             1.00000             1.20000             0.40000             1.00000            46.32167             1.58129             2.50049               33618             0.47829                   0                   1
                   3                  30               70288             1.00000             0.80000             0.40000             1.00000            46.04415             1.53039             2.34210               54442             0.77456                   1                   1
                   3                  30               74338             1.00000             1.20000             0.40000             1.00000            46.29276             1.59118             2.53185               35498             0.47752                   0                   1
                   3                  30               74338             1.00000             0.80000             0.40000             1.00000            46.03536             1.52042             2.31169               57548             0.77414                   1                   1
                   3                  30               78620             1.00000             1.20000             0.40000             1.00000            46.30099             1.57651             2.48540               37534             0.47741                   0                   1
                   3                  30               78620             1.00000             0.80000             0.40000             1.00000            46.05290             1.52654             2.33034               60939             0.77511                   1                   1
                   3                  30               83150             1.00000             1.20000             0.40000             1.00000            46.29069             1.58486             2.51180               39634             0.47666                   0                   1
                   3                  30               83150             1.00000             0.80000             0.40000             1.00000            46.06716             1.52386             2.32213               64432             0.77489                   1                   1
                   3                  30               87940             1.00000             1.20000             0.40000             1.00000            46.28941             1.58949             2.52647               41888             0.47632                   0                   1
                   3                  30               87940             1.00000             0.80000             0.40000             1.00000            46.07144             1.52608             2.32893               68171             0.77520                   1                   1
                   3                  30               93006             1.00000             1.20000             0.40000             1.00000            46.28252             1.58344             2.50728               44321             0.47654                   0                   1
                   3                  30               93006             1.00000             0.80000             0.40000             1.00000            46.07369             1.52686             2.33130               72072             0.77492                   1                   1
                   3                  30               98365             1.00000             1.20000             0.40000             1.00000            46.26885             1.59054             2.52983               46865             0.47644                   0                   1
                   3                  30               98365             1.00000             0.80000             0.40000             1.00000            46.10817             1.53866             2.36748               76289             0.77557                   1                   1
                   3                  30              104031             1.00000             1.20000             0.40000             1.00000            46.29215             1.58410             2.50938               49548             0.47628                   0                   1
                   3                  30              104031             1.00000             0.80000             0.40000             1.00000            46.10766             1.54531             2.38800               80693             0.77566                   1                   1
                   3                  30              110025             1.00000             1.20000             0.40000             1.00000            46.28354             1.57684             2.48644               52327             0.47559                   0                   1
                   3                  30              110025             1.00000             0.80000             0.40000             1.00000            46.11470             1.54077             2.37397               85364             0.77586                   1                   1
